category,Niederschlag (6 bis 6 UTC)
Mo 03.02.,0
Di 04.02.,0
Mi 05.02.,0
Do 06.02.,0
Fr 07.02.,0
Sa 08.02.,0
So 09.02.,0
Mo 10.02.,1.2
Di 11.02.,0.1
Mi 12.02.,0
Do 13.02.,1
Fr 14.02.,0
Sa 15.02.,0.3
So 16.02.,0
Mo 17.02.,0
Di 18.02.,0
Mi 19.02.,0
Do 20.02.,0
Fr 21.02.,0
Sa 22.02.,1.7
So 23.02.,0
Mo 24.02.,1.3
Di 25.02.,3.1
Mi 26.02.,1.5
Do 27.02.,6.1
Fr 28.02.,1
Sa 01.03.,0
So 02.03.,0
Mo 03.03.,0
Di 04.03.,0
Mi 05.03.,0
Do 06.03.,0
Fr 07.03.,0
Sa 08.03.,0
So 09.03.,0
Mo 10.03.,0
Di 11.03.,0.2
Mi 12.03.,1
Do 13.03.,0
Fr 14.03.,0
Sa 15.03.,0
So 16.03.,0
Mo 17.03.,0
Di 18.03.,0
Mi 19.03.,0
Do 20.03.,0
Fr 21.03.,0.5
Sa 22.03.,1.7
So 23.03.,0.3
Mo 24.03.,0
Di 25.03.,1.9
Mi 26.03.,0
Do 27.03.,0
Fr 28.03.,0.1
Sa 29.03.,0
So 30.03.,0.6
Mo 31.03.,0
Di 01.04.,0
Mi 02.04.,0
Do 03.04.,0
Fr 04.04.,0
Sa 05.04.,0
So 06.04.,0
Mo 07.04.,0
Di 08.04.,0
Mi 09.04.,0
Do 10.04.,0
Fr 11.04.,0
Sa 12.04.,0.5
So 13.04.,3.1
Mo 14.04.,0
Di 15.04.,1.9
Mi 16.04.,15
Do 17.04.,18.3
Fr 18.04.,0.1
Sa 19.04.,0
So 20.04.,0.3
Mo 21.04.,0.7
Di 22.04.,0.5
Mi 23.04.,8.8
Do 24.04.,15
Fr 25.04.,0
Sa 26.04.,0
So 27.04.,0
Mo 28.04.,0
Di 29.04.,0
Mi 30.04.,0
Do 01.05.,0
Fr 02.05.,0
Sa 03.05.,8.7
