category,Höchstwert,Tiefstwert,Mittelwert
So 09.03.,18.4,4.2,11.5
Mo 10.03.,18.3,6.9,11.7
Di 11.03.,8.7,1.5,5.3
Mi 12.03.,7.6,-0.3,2.6
Do 13.03.,5.8,-0.1,2.6
Fr 14.03.,6.6,0.4,2.5
Sa 15.03.,7.1,-1.1,2.4
So 16.03.,9.1,-0.8,3.9
Mo 17.03.,9.8,0.1,4.5
Di 18.03.,10.9,-2.9,4
Mi 19.03.,17.8,-0.2,10.2
Do 20.03.,19,8.2,12.8
Fr 21.03.,21.6,6.9,15.1
Sa 22.03.,18.2,10.7,14.4
So 23.03.,16.1,7.5,11.7
Mo 24.03.,16.3,5.1,10.8
Di 25.03.,13.5,4.1,8.1
Mi 26.03.,9.5,5.7,7.5
Do 27.03.,14.5,1.9,8.5
Fr 28.03.,15.5,4.3,9.7
Sa 29.03.,12.5,3.5,8
So 30.03.,12.9,4.7,8.1
Mo 31.03.,12.3,3.9,7.8
Di 01.04.,13.8,0.9,7.4
Mi 02.04.,17.2,2.5,10.7
Do 03.04.,20.7,7.6,13.6
Fr 04.04.,22,7.6,15.2
Sa 05.04.,18.3,6.5,12.2
So 06.04.,12.1,1.1,7.3
Mo 07.04.,12.9,-1.3,6.4
Di 08.04.,15.9,2.8,10.2
Mi 09.04.,14.8,1.6,8.7
Do 10.04.,12.3,3.8,7.4
Fr 11.04.,18.2,1.8,10.8
Sa 12.04.,24.1,6.8,16
So 13.04.,17.6,8.6,13.1
Mo 14.04.,19.7,6.9,13.2
Di 15.04.,18.9,9.3,14.2
Mi 16.04.,13,7.3,9.7
Do 17.04.,7.4,5.5,6.6
Fr 18.04.,12.8,5.8,8.4
Sa 19.04.,15.5,7.3,10.8
So 20.04.,17.9,5.5,10.8
Mo 21.04.,14.1,6.4,10.8
Di 22.04.,16.8,9.3,12.2
Mi 23.04.,14.1,8.3,10.1
Do 24.04.,11.5,8.1,9.6
Fr 25.04.,10.9,5.2,8.8
Sa 26.04.,17.9,4.3,11.4
So 27.04.,19.6,6.8,13.9
Mo 28.04.,20.2,7.5,15
Di 29.04.,21.9,8,15.9
Mi 30.04.,24.3,10.9,18.2
Do 01.05.,27.3,12.4,20.6
Fr 02.05.,25.7,15.1,21
Sa 03.05.,19.1,8.5,14.1
